"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","3000","","","","0"
"2011","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","2800","","","","0"
"2012","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","3000","","","","0"
"2013","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","3200","","","","0"
"2014","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","3000","","","","0"
"2015","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","2000","","","","0"
"2016","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","2800","","","","0"
"2017","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","3800","","","","0"
"2018","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1600","","","","0"
"2019","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","3800","","","","0"
"2020","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","3900","","","","0"
"2021","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","3400","","","","0"
"1980","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","15800","","","","0"
"1981","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","14950","","","","0"
"1982","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","16200","","","","0"
"1983","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","15800","","","","0"
"1984","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","14200","","","","0"
"1985","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","14200","","","","0"
"1986","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","13100","","","","0"
"1987","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","12100","","","","0"
"1988","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","11700","","","","0"
"1989","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","10100","","","","0"
"1990","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","9700","","","","0"
"1991","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","8804","","","","0"
"1992","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","12100","","","","0"
"1993","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","10900","","","","0"
"1994","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","10500","","","","0"
"1995","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","10900","","","","0"
"1996","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","9500","","","","0"
"1997","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","8900","","","","0"
"1998","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","8500","","","","0"
"1999","New Brunswick","2016A000213","Seeded area (hectares)","Oats","Hectares","149","units","0","v115114009","5.16.5","8100","","","","0"
