"REF_DATE","GEO","DGUID","Trade flow detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113669831","3.18.7","14145","","","","0"
"2016","Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113669831","3.18.7","11657","","","","0"
"2017","Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113669831","3.18.7","15845","","","","0"
"2010","Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113669832","3.18.8","68436","","","","0"
"2011","Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113669832","3.18.8","78732","","","","0"
"2012","Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113669832","3.18.8","80519","","","","0"
"2013","Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113669832","3.18.8","57643","","","","0"
"2014","Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113669832","3.18.8","47150","","","","0"
"2015","Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113669832","3.18.8","35777","","","","0"
"2016","Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113669832","3.18.8","32762","","","","0"
"2017","Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113669832","3.18.8","23424","","","","0"
"2010","Prince Edward Island","2016A000211","Interprovincial imports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113670042","3.19.6","182","","","","0"
