Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2016-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Prince Edward Island,The world,N/A,30761,36690,Weight in kilograms
2017-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Nova Scotia,The world,N/A,456,240,Weight in kilograms
2021-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Nova Scotia,The world,N/A,29318,26000,Weight in kilograms
2014-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Quebec,The world,N/A,709702,188877,Weight in kilograms
2015-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Quebec,The world,N/A,854044,247806,Weight in kilograms
2014-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Quebec,The world,N/A,645017,547271,Weight in kilograms
2018-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Quebec,The world,N/A,3676363,2771685,Weight in kilograms
2011-01-01,"1207.91.00 - Poppy seeds, whether or not broken",Quebec,The world,N/A,1217,2211,Weight in kilograms
2013-01-01,"1207.91.00 - Poppy seeds, whether or not broken",Quebec,The world,N/A,2607,4740,Weight in kilograms
2017-01-01,"1207.91.00 - Poppy seeds, whether or not broken",Quebec,The world,N/A,21,38,Weight in kilograms
2017-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Quebec,The world,N/A,526899,283399,Weight in kilograms
2018-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Ontario,The world,N/A,104981,119019,Weight in kilograms
2021-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Ontario,The world,N/A,8419,4515,Weight in kilograms
2012-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Ontario,The world,N/A,3195785,3240349,Weight in kilograms
2018-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Ontario,The world,N/A,3611996,2195378,Weight in kilograms
