Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2013-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Newfoundland and Labrador,The world,N/A,68463,110,Weight in metric tonne
2017-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Newfoundland and Labrador,The world,N/A,85,0,Weight in metric tonne
2013-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,7129485,15007,Weight in metric tonne
2021-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,2769020,4812,Weight in metric tonne
2013-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,12663,26,Weight in metric tonne
2019-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,24375,49,Weight in metric tonne
2020-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,10466,9,Weight in metric tonne
2012-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,8666607,23943,Weight in metric tonne
2013-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,8890838,24480,Weight in metric tonne
2014-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,9231851,22975,Weight in metric tonne
2017-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,7879702,17983,Weight in metric tonne
2021-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,36514744,51049,Weight in metric tonne
2019-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Quebec,The world,N/A,1016480,1537,Weight in metric tonne
2013-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Quebec,The world,N/A,822051,1790,Weight in metric tonne
2014-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Quebec,The world,N/A,1219299,2446,Weight in metric tonne
2014-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Quebec,The world,N/A,16869275,35776,Weight in metric tonne
2015-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Quebec,The world,N/A,1481135,2485,Weight in metric tonne
2017-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Quebec,The world,N/A,32269034,48937,Weight in metric tonne
2011-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Ontario,The world,N/A,779417,1564,Weight in metric tonne
2011-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Ontario,The world,N/A,16739393,65169,Weight in metric tonne
2015-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Ontario,The world,N/A,17147898,48937,Weight in metric tonne
2017-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Ontario,The world,N/A,27632771,61364,Weight in metric tonne
2015-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Manitoba,The world,N/A,31857145,71722,Weight in metric tonne
2016-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Manitoba,The world,N/A,44912087,92976,Weight in metric tonne
2018-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Manitoba,The world,N/A,46342245,86939,Weight in metric tonne
2020-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Manitoba,The world,N/A,45654935,48820,Weight in metric tonne
2018-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Saskatchewan,The world,N/A,13421293,8905,Weight in metric tonne
2014-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Alberta,The world,N/A,6814750,8727,Weight in metric tonne
2014-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",British Columbia,The world,N/A,3341165,4554,Weight in metric tonne
2017-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",British Columbia,The world,N/A,3291273,4836,Weight in metric tonne
2019-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,76698129,100599,Weight in metric tonne
2011-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,7705496,15942,Weight in metric tonne
2016-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,4174639,6916,Weight in metric tonne
2019-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,4507789,6741,Weight in metric tonne
2013-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,305453,589,Weight in metric tonne
2017-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,41390,117,Weight in metric tonne
2018-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,7178653,15437,Weight in metric tonne
2016-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Quebec,The world,N/A,30638341,52733,Weight in metric tonne
2020-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Ontario,The world,N/A,209995,376,Weight in metric tonne
2016-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Manitoba,The world,N/A,1200970,2144,Weight in metric tonne
2020-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Manitoba,The world,N/A,7622859,14308,Weight in metric tonne
2017-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Saskatchewan,The world,N/A,9431354,7911,Weight in metric tonne
2013-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Alberta,The world,N/A,10937610,25131,Weight in metric tonne
2017-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Alberta,The world,N/A,17056926,38519,Weight in metric tonne
2016-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Alberta,The world,N/A,34292813,19404,Weight in metric tonne
2017-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Alberta,The world,N/A,27232878,17610,Weight in metric tonne
2011-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",British Columbia,The world,N/A,2048500,4417,Weight in metric tonne
2014-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",British Columbia,The world,N/A,3133121,5927,Weight in metric tonne
2019-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",British Columbia,The world,N/A,2064453,3116,Weight in metric tonne
2015-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",British Columbia,The world,N/A,5160168,4882,Weight in metric tonne
2016-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",British Columbia,The world,N/A,4991359,5490,Weight in metric tonne
2011-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,79598164,208878,Weight in metric tonne
2017-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,71934242,120386,Weight in metric tonne
2011-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,97163,235,Weight in metric tonne
2014-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,16656,46,Weight in metric tonne
2014-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,91483,184,Weight in metric tonne
2018-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,96454,113,Weight in metric tonne
2019-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,46415640,71709,Weight in metric tonne
2015-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,8939823,22555,Weight in metric tonne
2021-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,4864751,8880,Weight in metric tonne
